Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Donkey Kong Jr.,NES,1983,Platform,Nintendo,330000,70000,700000,10000
Mario Bros.,NES,1983,Platform,Nintendo,510000,120000,1630000,20000
Jr. Pac-Man,2600,1983,Puzzle,Atari,720000,50000,0,10000
Crystal Castles,2600,1983,Action,Atari,720000,40000,0,10000
Millipede,2600,1983,Shooter,Atari,450000,30000,0,10000
Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,310000,20000,0,0
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,150000,10000,0,0
Popeye,NES,1983,Platform,Nintendo,510000,120000,450000,20000
Pengo,2600,1983,Adventure,Atari,380000,20000,0,0
Gremlins,2600,1983,Action,Atari,430000,30000,0,0
Donkey Kong,NES,1983,Platform,Nintendo,230000,50000,840000,10000
Frostbite,2600,1983,Action,Activision,320000,20000,0,0
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1220000,70000,0,20000
Clu Clu Land,NES,1984,Puzzle,Nintendo,420000,100000,280000,20000
Pinball,NES,1984,Action,Nintendo,800000,190000,830000,30000
Golf,NES,1984,Sports,Nintendo,1220000,280000,2460000,40000
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1450000,0
Mappy,NES,1984,Platform,Namco Bandai Games,0,0,690000,0
Excitebike,NES,1984,Racing,Nintendo,2040000,480000,1570000,70000
Tennis,NES,1984,Sports,Nintendo,480000,110000,1560000,20000
F1 Race,NES,1984,Racing,Nintendo,0,0,1520000,0
Beamrider,2600,1984,Racing,Activision,260000,10000,0,0
Hogan's Alley,NES,1984,Shooter,Nintendo,680000,160000,410000,20000
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,270000,80000,850000,20000
Lode Runner,NES,1984,Puzzle,Hudson Soft,0,0,1100000,0
Xevious,NES,1984,Shooter,Namco Bandai Games,180000,60000,1270000,10000
Duck Hunt,NES,1984,Shooter,Nintendo,26930000,630000,280000,470000
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0,0,1050000,0
Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0,0,20000,0
Balloon Fight,NES,1985,Platform,Nintendo,390000,90000,430000,10000
Gyromite,NES,1985,Puzzle,Nintendo,730000,160000,400000,30000
Wrecking Crew,NES,1985,Platform,Nintendo,0,0,510000,0
Bomberman,NES,1985,Puzzle,Hudson Soft,180000,0,850000,0
Super Mario Bros.,NES,1985,Platform,Nintendo,29080000,3580000,6810000,770000
Kung Fu,NES,1985,Action,Nintendo,1640000,380000,1420000,60000
1942,NES,1985,Shooter,Capcom,650000,140000,210000,0
Soccer,NES,1985,Sports,Nintendo,180000,230000,1530000,20000
Alter Ego,PC,1985,Simulation,Activision,0,30000,0,10000
Ice Climber,NES,1985,Platform,Nintendo,0,100000,920000,20000
Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,410000,0
Ghostbusters,2600,1985,Puzzle,Activision,420000,30000,0,0
Ghosts 'n Goblins,NES,1986,Action,Capcom,740000,260000,610000,30000
Solaris,2600,1986,Shooter,Atari,350000,20000,0,0
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1920000,450000,640000,70000
Rad Racer,NES,1986,Racing,Nintendo,1130000,370000,410000,50000
The Legend of Zelda,NES,1986,Action,Nintendo,3740000,930000,1690000,140000
Commando,NES,1986,Action,Capcom,710000,160000,250000,30000
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,150000,0,2049999,0
Metroid,NES,1986,Action,Nintendo,1330000,310000,1040000,50000
Dragon Warrior,NES,1986,Role-Playing,Capcom,490000,0,520000,1510000
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0,0,1500000,0
Doraemon,NES,1986,Action,Hudson Soft,0,0,1150000,0
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0,0,570000,0
RealSports Boxing,2600,1986,Sports,Atari,280000,20000,0,0
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,0,0,2650000,0
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,0,0,1200000,0
Castlevania,NES,1986,Platform,Konami Digital Entertainment,540000,60000,620000,10000
Star Soldier,NES,1986,Shooter,Hudson Soft,320000,60000,570000,10000
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,0,0,1200000,0
Kid Icarus,NES,1986,Platform,Nintendo,530000,120000,1090000,20000
Gradius,NES,1986,Shooter,Konami Digital Entertainment,270000,80000,1000000,10000
Super Football,2600,1987,Sports,Atari,70000,0,0,0
Kung-Fu Master,2600,1987,Action,Activision,600000,40000,0,10000
Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,120000,0,1300000,0
Final Fantasy,NES,1987,Role-Playing,SquareSoft,320000,0,520000,0
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,150000,0,2410000,0
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,2029999,470000,450000,70000
Commando,2600,1987,Action,Activision,440000,20000,0,0
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1250000,0
Defender II,2600,1987,Shooter,Atari,420000,20000,0,0
Super Baseball,2600,1987,Sports,Atari,70000,0,0,0
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2190000,500000,1610000,80000
Volleyball,NES,1987,Sports,Nintendo,140000,30000,1980000,0
Desert Falcon,2600,1987,Shooter,Atari,240000,10000,0,0
Mega Man,NES,1987,Platform,Capcom,450000,80000,270000,10000
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,450000,60000,420000,0
Pro Wrestling,NES,1987,Fighting,Nintendo,770000,180000,1420000,30000
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,100000,0,3770000,0
Ice Hockey,NES,1988,Sports,Nintendo,1270000,320000,780000,50000
Mega Man 2,NES,1988,Action,Capcom,930000,150000,420000,10000
Rampage,2600,1988,Action,Activision,220000,10000,0,0
Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0,0,760000,0
Tetris,NES,1988,Puzzle,Nintendo,2970000,690000,1810000,110000
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1250000,0
Donkey Kong Classics,NES,1988,Platform,Nintendo,590000,140000,810000,20000
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9540000,3440000,3840000,460000
R.C. Pro-Am,NES,1988,Racing,Nintendo,1470000,380000,190000,100000
Super Mario Bros. 2,NES,1988,Platform,Nintendo,5390000,1180000,700000,190000
SimCity,PC,1988,Simulation,Maxis,0,20000,0,10000
Disney's DuckTales,GB,1988,Platform,Capcom,820000,230000,350000,30000
River Raid II,2600,1988,Shooter,Activision,470000,30000,0,10000
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,100000,0,1080000,0
Tetris,GB,1989,Puzzle,Nintendo,23200000,2260000,4220000,580000
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0,0,1100000,0
Super Mario Land,GB,1989,Platform,Nintendo,10830000,2710000,4179999,420000
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,60000,0,0,0
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,400000,70000,370000,10000
Klax,2600,1989,Puzzle,Atari,140000,10000,0,0
SolarStriker,GB,1989,Shooter,Nintendo,400000,390000,360000,40000
The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,0,0,1100000,0
Alleyway,GB,1989,Puzzle,Nintendo,960000,380000,550000,50000
Disney's DuckTales,NES,1989,Platform,Capcom,910000,300000,420000,40000
Tennis,GB,1989,Sports,Nintendo,750000,300000,900000,40000
Dr. Mario,GB,1989,Puzzle,Nintendo,2180000,960000,2000000,200000
Golf,GB,1989,Sports,Nintendo,830000,330000,920000,40000
Yakuman,GB,1989,Misc,Nintendo,0,0,1280000,0
Baseball,GB,1989,Sports,Nintendo,660000,270000,650000,30000
Double Dragon,2600,1989,Action,Activision,450000,20000,0,10000
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,3380000,440000,310000,40000
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation,80000,0,3030000,10000
Final Fantasy III,NES,1990,Role-Playing,SquareSoft,0,0,1390000,10000
Famista '91,NES,1990,Sports,Namco Bandai Games,0,0,300000,0
Super Mario World,SNES,1990,Platform,Nintendo,12780000,3750000,3540000,550000
Final Fight,SNES,1990,Action,Capcom,670000,170000,690000,30000
F-1 Race,GB,1990,Racing,Nintendo,1730000,690000,590000,400000
Nintendo World Cup,NES,1990,Sports,Nintendo,280000,500000,650000,50000
Mega Man 3,NES,1990,Platform,Capcom,680000,100000,390000,0
Streets of Rage,GEN,1990,Action,Sega,1860000,550000,110000,80000
Disney's Chip 'n Dale: Rescue Rangers,NES,1990,Platform,Capcom,680000,140000,350000,0
Qix,GB,1990,Puzzle,Nintendo,510000,200000,410000,30000
F-Zero,SNES,1990,Racing,Nintendo,1370000,510000,890000,70000
Pilotwings,SNES,1990,Simulation,Nintendo,460000,170000,480000,20000
Extra Bases,GB,1990,Sports,Namco Bandai Games,0,0,330000,0
Dr. Mario,NES,1990,Puzzle,Nintendo,2620000,600000,1520000,100000
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,1740000,250000,210000,30000
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0,0,290000,0
Super Scope 6,SNES,1991,Shooter,Nintendo,1060000,380000,150000,50000
Final Fantasy II,SNES,1991,Role-Playing,Square,240000,90000,1330000,120000
Sonic the Hedgehog,GEN,1991,Platform,Sega,3030000,910000,260000,130000
Battle Dodge Ball,SNES,1991,Sports,Banpresto,0,0,330000,0
UN Squadron,SNES,1991,Shooter,Capcom,0,0,120000,0
Romance of the Three Kingdoms II,SNES,1991,Strategy,Tecmo Koei,0,0,250000,0
Super R-Type,SNES,1991,Shooter,Nintendo,0,0,230000,0
Mega Man 4,NES,1991,Platform,Capcom,510000,90000,320000,10000
Super R.C. Pro-Am,GB,1991,Racing,Nintendo,580000,370000,150000,40000
Lord of Darkness,SNES,1991,Action,Tecmo Koei,0,0,280000,0
SimCity,SNES,1991,Simulation,Nintendo,930000,270000,750000,40000
Yoshi,GB,1991,Puzzle,Nintendo,0,0,730000,0
Lagoon,SNES,1991,Role-Playing,Kemco,0,0,50000,0
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games,0,0,330000,0
Famista '92,NES,1991,Sports,Namco Bandai Games,0,0,280000,0
Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0,0,320000,0
Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0,0,420000,0
Super Soccer,SNES,1991,Sports,Nintendo,0,0,380000,0
Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0,0,60000,0
Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,850000,310000,560000,40000
Bomberman II,NES,1991,Puzzle,Hudson Soft,160000,30000,150000,100000
Battle Commander: Hachibushu Shura no Heihou,SNES,1991,Strategy,Banpresto,0,0,180000,0
Super Ghouls 'n Ghosts,SNES,1991,Platform,Capcom,500000,140000,520000,20000
SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0,0,160000,0
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft,0,0,380000,0
Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,320000,50000,250000,10000
Mega Man II,GB,1991,Platform,Nintendo,0,0,280000,0
Yoshi,NES,1991,Puzzle,Nintendo,700000,130000,910000,10000
John Madden Football,SNES,1991,Sports,Imagineer,0,0,70000,0
Final Fantasy Legend III,GB,1991,Role-Playing,SquareSoft,0,0,760000,0
The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0,0,480000,0
World League Soccer,SNES,1991,Sports,Imagineer,0,0,150000,0
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1050000,170000,150000,20000
NES Open Tournament Golf,NES,1991,Sports,Nintendo,410000,100000,470000,20000
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0,0,390000,0
Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0,0,200000,0
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2420000,910000,1150000,130000
Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991,Misc,Epoch,0,0,80000,0
Mega Man: Dr. Wily's Revenge,GB,1991,Platform,Nintendo,0,0,280000,0
GameBoy Wars,GB,1991,Strategy,Nintendo,0,0,180000,0
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992,Fighting,Konami Digital Entertainment,0,0,60000,0
F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0,0,280000,0
Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,Sega,0,0,40000,0
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1420000,510000,2100000,70000
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0,0,460000,0
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992,Fighting,Konami Digital Entertainment,40000,10000,20000,0
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2470000,830000,2870000,120000
Yoshi's Cookie,NES,1992,Puzzle,Nintendo,410000,60000,630000,20000
Gunstar Heroes,GEN,1992,Shooter,Sega,0,0,130000,0
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1000000,300000,310000,40000
Super Mario Kart,SNES,1992,Racing,Nintendo,3540000,1240000,3810000,180000
Syndicate,PC,1992,Strategy,Electronic Arts,0,50000,0,10000
Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0,0,130000,0
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4470000,1200000,160000,190000
NBA Jam,GEN,1992,Sports,Arena Entertainment,1750000,250000,0,50000
Doom,PC,1992,Shooter,id Software,20000,0,0,0
The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,660000,170000,350000,30000
F-1 Grand Prix,SNES,1992,Racing,Video System,0,0,280000,0
Mega Man 5,NES,1992,Platform,Capcom,390000,70000,320000,10000
Kirby's Dream Land,GB,1992,Platform,Nintendo,2710000,610000,1700000,110000
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0,0,970000,0
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,560000,220000,430000,30000
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,Enix Corporation,0,0,2780000,10000
The 7th Guest,PC,1992,Adventure,Virgin Interactive,10000,770000,0,0
Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0,0,580000,0
Final Fantasy V,SNES,1992,Role-Playing,SquareSoft,0,0,2430000,20000
Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0,0,230000,0
SimCity 2000,PC,1992,Simulation,Maxis,1200000,840000,0,100000
Ecco the Dolphin,GEN,1992,Adventure,Sega,0,0,120000,0
Mario Paint,SNES,1992,Misc,Nintendo,1430000,540000,710000,70000
Kirby's Pinball Land,GB,1992,Misc,Nintendo,870000,170000,1100000,50000
Dragon Slayer: The Legend of Heroes,SNES,1992,Role-Playing,Epoch,0,0,70000,0
Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0,0,570000,0
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0,0,160000,0
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2210000,960000,540000,130000
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0,0,290000,0
Super Adventure Island,SNES,1992,Platform,Hudson Soft,0,0,220000,0
Yoshi's Cookie,GB,1992,Puzzle,Nintendo,590000,240000,820000,30000
Mortal Kombat,GEN,1992,Fighting,Arena Entertainment,1950000,630000,0,90000
Fatal Fury,SNES,1992,Fighting,Takara,0,0,390000,0
Otogirisou,SNES,1992,Adventure,ChunSoft,0,0,160000,0
Empire Deluxe,PC,1992,Strategy,New World Computing,10000,0,0,0
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6160000,2040000,2690000,290000
Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,0,0,1450000,0
Mega Man X,SNES,1993,Platform,Capcom,570000,80000,500000,10000
Streets of Rage 3,GEN,1993,Action,Sega,0,0,70000,0
Shin Momotarou Densetsu,SNES,1993,Role-Playing,Hudson Soft,0,0,320000,0
Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0,0,1150000,0
Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,Role-Playing,ChunSoft,0,0,780000,0
Mario & Wario,SNES,1993,Puzzle,Nintendo,0,0,490000,0
Super Power League,SNES,1993,Sports,Hudson Soft,0,0,170000,0
Disney's Aladdin,SNES,1993,Platform,Capcom,940000,340000,210000,270000
Final Fight 2,SNES,1993,Action,Capcom,390000,120000,490000,20000
Mega Man 6,NES,1993,Platform,Capcom,280000,70000,160000,10000
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0,0,690000,0
Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,0,0,1200000,0
Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1170000,0
Stunt Race FX,SNES,1993,Racing,Nintendo,0,0,350000,0
Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,0,0,360000,0
The King of Fighters '94 (CD),NG,1993,Fighting,SNK,0,0,140000,0
Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0,0,120000,0
Mega Man X2,SNES,1993,Platform,Laguna,90000,20000,450000,0
Dragon Ball Z: Ultime Menace,SNES,1993,Fighting,Namco Bandai Games,0,0,730000,0
Mega Man Soccer,SNES,1993,Sports,Capcom,40000,10000,130000,0
Thoroughbred Breeder,SNES,1993,Simulation,Hect,0,0,190000,0
Winning Post,SNES,1993,Sports,Tecmo Koei,0,0,530000,0
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,Namco Bandai Games,0,0,460000,0
Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,300000,0,320000,0
Rock N' Roll Racing,SNES,1993,Racing,Interplay,0,0,10000,0
Shining Force II,GEN,1993,Strategy,Sega,0,0,190000,0
